Mistr Yoda;Star Wars
Mace Windu;Star Wars
Luke Skywalker;Star Wars
Anakin Skywalker;Star Wars
Princezna Lei Organa;Star Wars
Obi Van Kenobi;Star Wars
Amidala Padmé;Star Wars
Darth Vader;Anakin Skywalker
Han Solo;Star Wars
Tiim Saesee;Star Wars
Sebulba;Star Wars
Admiral Ackbar;Star Wars
Boba Fett;Star Wars
Jabba Hutt;Star Wars
Jar Jar Binks;Star Wars
R2-D2;Star Wars, Robot, C-3PO
C-3PO;Star Wars
Rey;Star Wars
Finn;Star Wars
Kylo Ren;Star Wars
Supreme Leader Snoke;Star Wars
BB-8;Star Wars, Robot, R2-D2
Thomas A. Anderson;Neo, Matrix
Neo;Matrix
Trinity;Matrix
Morpheus;Matrix, Krakonoš
Cypher;Matrix
Agent Smith;Agent Špek, ZŠMF2014, Matrix
Arthur Dent;Stopařův průvodce po Galaxii
Zafod Bíblbrox;Stopařův průvodce po Galaxii
Ford Prefect;Stopařův průvodce po Galaxii
Marvin;Stopařův průvodce po Galaxii
Slartibartfast;Stopařův průvodce po Galaxii
Trillian;Stopařův průvodce po Galaxii
Frodo Pytlík;Pán Prstenů
Aragorn;Pán Prstenů
Legolas;Pán Prstenů, elf
Gimli;Pán Prstenů
Bilbo Pytlík;Pán Prstenů
Gandalf;Pán Prstenů
Sauron;Pán Prstenů, oko
Glum;Pán Prstenů
James Bond;Agent 007
Shrek;Shrek
Fiona;Shrek
Tři slepé myši;Shrek
Iron Man;
Superman;
Batman;
Nastěnka;Mrazík
Marfuša;Mrazík
Ivan;Mrazík
Dědeček Hříbeček;Mrazík
Baba Jaga;Mrazík
Mrazík;
Elisabeth Swann;Piráti z Karibiku
Kapitán Jack Sparrow;Piráti z Karibiku
William Turner;Piráti z Karibiku
Davy Jones;Piráti z Karibiku
Hector Barbarossa;Piráti z Karibiku
Kapitán Teague;Piráti z Karibiku
Cutler Beckett;Piráti z Karibiku
Hermiona Grangerová;Harry Potter
Harry Potter;Harry Potter
Ron Weasley;Harry Potter
Lord Voldemort;Harry Potter
Draco Malfoy;Harry Potter
Ginny Weasleyová;Harry Potter
Neville Longbottom;Harry Potter
Lenka Láskorádová;Harry Potter
Sirius Black;Harry Potter
Minerva McGonagallová;Harry Potter
Albus Percival Wulfric Brian Brumbál;Harry Potter
