Robin Hood;
Kryštof Kolumbus;
Adolf Hitler;Führer
Tomáš Garrigue Masaryk;
Ježíš Kristus;
Napoleon Bonaparte;
Mohamed;
Wiliam Shakespeare;
Abraham Lincoln;
George Washington;
Aristoteles;
Alexandr Veliký;
Thomas Jefferson;
Elizabeth I.;
Karl Marx;
Julius Caesar;
Královna Viktorie;
Martin Luther;
Josif Vissarionovič Stalin;
Karel Veliký;
Theodore Roosevelt;
Wolfgang Amadeus Mozart;
Platón;
Ludvík XIV.;
Ludvík XVI.;
Ludwig van Beethoven;
Augustus, Gaius Octavius;
Ronald Reagan;
George Bush;
Winston Churchill;
Čingischán;
Charles I.;
James I.;
Franklin D. Roosevelt;
Sigmund Freud;
Alexander Hamilton;
Mahátmá Gandhi;
Johann Sebastian Bach;
Oliver Cromwell;
Buddha;
Mark Twain;
George III.;
Immanuel Kant;
Petr Iljič Čajkovskij;
Voltaire;
Elvis Presley;
John F. Kennedy;
Svatý Augustin;
Vincent van Gogh;
Mikuláš Koperník;
Oscar Wilde;
Král Artuš;
Michelangelo;
Alí;
Tomáš Akvinský;
René Descartes;
Johanka z Arku;
John Lock;
Praotec Čech;
Libuše;
Přemysl Oráč;
Nezamysl;
Svatopluk I.;
Mojmír II.;
Bořivoj I.;
Vratislav I.;
Svatý Václav;
Přemysl Otakar II.;
Zikmund Lucemburský;
Jiří z Poděbrad;
Matyáš Korvín;
Ludvík Jagellonský;
Marie Terezie;
Gustáv Husák;
Antonín Novotný;
Klement Gottwald;
Václav Havel;
Václav Klaus;
Miloš Zeman;tlustoprase
John Fitzgerald Kennedy;
Alan Turing;
Richard Nixon;
Archimédes;
Amedeo Avogadro;
Alexander Graham Bell;
Jan Evangelista Purkyně;
Alexander Fleming;
Thomas Morgan;
Ivan Petrovič Pavlov;
Sókratés;
Anders Celsius;
Marie Curie-Sklodowski;
Albert Einstein;
Leonhard Euler;
Galileo Galilei;
Stephen Hawking;
Mikoláš Koperník;
František Křižík;
Isaac Newton;
Alfred Nobel;
Erwin Schrödinger;
Leonhard Euler;
Leonardo da Vinci;
Jan Jesenský - Jessenius;
Charles Robert Darwin;
Jan Evangelista Purkyně;
