Dave Lister;Kari, Červený Trpaslík
Arnold Rimmer;Červený Trpaslík
Kocour;Červený Trpaslík
Kristina Kochanská;Červený Trpaslík
Holly;Červený Trpaslík
Eso Rimmer;Červený Trpaslík
Cloister;Červený Trpaslík, Lister
Dwayne Dibley;Červený Trpaslík
Replikant;Červený Trpaslík
Philip J. Fry;Futurama
Turanga Leela;Futurama
Bender Bending Rodriguez;Futurama
Prof. Hubert J. Farnsworth;Futurama
Dr. John Zoidberg;Futurama
Hermes Conrad;Futurama
Amy Wong;Futurama
Bart Simpson;
Homer Simpson;
Marge Simpsonová;
Líza Simpsonová;
Maggie Simpsonová;
Brian Griffin;Family Guy, Griffinovi
Chris Griffin;Family Guy, Griffinovi
Peter Griffin;Family Guy, Griffinovi
Stewie Griffin;Family Guy, Griffinovi
Cleveland Brown;Family Guy, Griffinovi
Adam West;Family Guy, Griffinovi
Jack O´Neill;Star Gate
Daniel Jackson;Star Gate
Samantha Carterová;Star Gate
Teal´c;Star Gate
George Hammond;Star Gate
Replikátoři;Star Gate
Doctor Who;Pán Času
Tvář z Boe;Doctor Who, Pán Času
Dalek;Doctor Who, Pán Času
Kyberlidé;Doctor Who, Pán Času
River Song;Doctor Who, Pán Času
Strax;Doctor Who, Pán Času
Tardis;Doctor Who, Pán Času, modrá budka
Vastra;Doctor Who, Pán Času
Tyrion Lannister;Game of Thrones
Cersei Lannister;Game of Thrones
Daenerys Targaryen;Game of Thrones
Jon Snow;Game of Thrones
Sansa Stark;Game of Thrones
Theon Greyjoy;Game of Thrones
Catelyn Stark;Game of Thrones
Petyr "Littlefinger" Baelish;Game of Thrones
Arya Stark;Game of Thrones
Joffrey Baratheon;Game of Thrones
Robb Stark;Game of Thrones
Šae;Game of Thrones
Star Gate;
Červený trpaslík;
Šmoulové;
Maxipes Fík;
Bob a Bobek;
Bolek a Lolek;
Battlestar Galactica;
Monica Gellerová;Přátelé
Ross Geller;Přátelé
Chandler Bing;Přátelé
Phoebe Buffetová;Přátelé
Joey Tribbiani;Přátelé
Rachel Greenová;Přátelé
Spock;Star Trek
James T. Kirk;Star Trek
Leonard McCoy;Star Trek
Nyota Uhura;Star Trek
Hitari Sulu;Star Trek
Sheldon Lee Cooper;Teorie velkého třesku
Penny;Teorie velkého třesku
Leonard Hofstadter;Teorie velkého třesku
Rajesh Ramayan Koothrappali;Teorie velkého třesku
Howard Joel Wolowitz;Teorie velkého třesku
Amy Farrah Fowler;Teorie velkého třesku
Bernadette Maryann Rostenkowski-Wolowitz;Teorie velkého třesku
Barney Stinson;How I Met Your Mother
Robin Scherbatská;How I Met Your Mother
Lily Aldrinová;How I Met Your Mother
Ted Mosby;How I Met Your Mother
Marshall Eriksen;How I Met Your Mother
