Andre Marie Ampére;
Archimédes;
Amedeo Avogadro;
Alexander Graham Bell;
Max Born;
Anders Celsius;
Charles-Augustin Coulomb;
Marie Curie-Sklodowski;
Démokritos;
Prokop Diviš;
Albert Einstein;
Leonhard Euler;
Michael Faraday;
Enrico Fermi;
Richard Feynman;
Benjamin Franklin;
Galileo Galilei;
Luigi Galvani;
Friedrich Karl Gauss;
Stephen Hawking;
Werner Heisenberg;
Heinrich Hertz;
Edwin Hubble;
James Joule;
Wiliam Thomson Kelvin;
Johannes Kepler;
Christian Doppler;
Mikoláš Koperník;
František Křižík;
Hendrik Antoon Lorentz;
Ernst Mach;
James Clerk Maxwell;
Isaac Newton;
Alfred Nobel;
Georg Simon Ohm;
Blaise Pascal;
Erwin Schrödinger;
Nicola Tesla;
Alessandro Volta;
James Watt;
Werner von Siemens;
Henri Ford;
Jan Ámos Komenský;
Eukleidés;
Pierre de Fermat;
Leonardo Fibonacci;
Leonhard Euler;
Gottfried Wilhelm Leibniz;
August Ferdinand Möbius;
Pythagoras;
Theón z Alexandrie;
Hippokrates;
Theofrastos;
Leonardo da Vinci;
Jan Jesenský - Jessenius;
Robert Hook;
Carl von Linné;
Charles Robert Darwin;
Jan Evangelista Purkyně;
Alexander Fleming;
Thomas Morgan;
Ivan Petrovič Pavlov;
Sókratés;
Johannes Diderik van der Waals;Van der Waalsovi síly, vědec
